Description,is_sif,source,Industry Sector,Employee or Third Party,iogp_rule
"On 11/26/2016, an employee was helping a customer load a purchase into the trunk of a car, when the trunk fell and hit him.  The employee passed away at home the next day.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
An employee was lifting a tire onto another tire when he felt pain in his neck. He was hospitalized with a neck injury.,1,OSHA_SIR,Others,Employee,Uncategorized
"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 11:50 a.m. on May 12, 2016, a workshop helper reported that a fire extinguisher inspection tag was overdue by three days. The extinguisher was inspected and re-tagged. It remained fully charged throughout. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
An employee was spraying foam insulation in a new residential construction when they fell from a scissor lift to the concrete ground. The employee was hospitalized with broken arms.,1,OSHA_SIR,Others,Employee,Uncategorized
"On 01/02/2017, at 10:15 a.m., when performing the Soil activity, the collaborator Alex used a pickaxe to assist in the opening of the collection hole. As he struck the ferranta on the ground, he had a fragment of rock projected on his forehead causing a small cut. The activity was paralyzed for a few moments and it was not necessary to go to the doctor, the employee continued the activities normally.",0,IHM_Stefanini,Others,Employee,Line of Fire
"At 7:15 a.m. on August 3, 2016, a storekeeper reported that a fire extinguisher inspection tag was overdue by three days. The extinguisher was inspected and re-tagged. It remained fully charged throughout. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 8:40 a.m. on February 12, 2016, a storekeeper observed that a machine guard interlock label had faded and was difficult to read. The label was replaced during the next planned shutdown. The machine was not in operation at the time. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At times when the worker was cleaning the long holes of the production mesh in negative, when removing the polyethylene pipe it suffers a clogging inside the drill, which product of compressed air pressure is released by ejecting detritus and fragments of rock inside the hole impacting the worker's forehead causing a cut.",0,IHM_Stefanini,Others,Employee,Uncategorized
An employee was standing on a 10-foot A-frame ladder while welding when they fell to the ground. The employee sustained a neck injury.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 3:30 p.m. on January 24, 2017, an employee was working from a ladder to change a light bulb when he fell, sustaining multiple injuries. The employee was hospitalized and treated for his injuries.The employee was getting ready to change out the lights in the training room right before the accident.At the time of the accident the employee had climbed a ladder to take down wire so he could put energy efficient lights up.The employee was tying the sling to the wire (used as rigging), as he was taking wire off the rigging ""that's when it sort of pulled me off the ladder"".Employee fractured left ankle.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 4:35 p.m. on September 21, 2017, an operator reported that a fire extinguisher inspection tag was overdue by three days. The extinguisher was inspected and re-tagged. It remained fully charged throughout. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 2:45 p.m. on February 17, 2017, a contractor's helper noticed a small oil seep beneath a stationary pump during a routine walk-round. A drip tray was placed and maintenance scheduled the repair. No spill reached the drain and no one was exposed. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"During the refurbishment work of the HDPE pipes (4 ""of diameter) with two workers, when the worker who secured the pipe with a chain, standing on the basket of the ampoloader - raised to a height of 3.0 m from the ground -, the pipe slipped and impacted his arm right, causing an injury to the radius of the right arm.",1,IHM_Stefanini,Others,Employee,Uncategorized
"An employee was unloading a box truck. The employee was operating a manual pallet jack while walking backwards onto the lift gate. The jack struck the employee's right leg, fracturing the fibula and the tibia.",1,OSHA_SIR,Others,Employee,Uncategorized
"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",0,IHM_Stefanini,Others,Employee,Line of Fire
"At 1:20 p.m. on March 8, 2017, a warehouse associate pinched a finger between two stacked plastic pallets while manually separating them. A minor pinch mark was noted with no break in the skin. The employee continued working. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At approximately 2:30 p.m. on July 1, 2015, Employee #1, a truck driver, was working in a construction area removing trees. He was preparing a load of logs for his truck. A coworker was operating a bulldozer nearby and moving logs through a section along a logging road on the construction site. While he was binding a load of logs, his truck rolled back. Employee #1 was struck and run over by the rear wheels of the log truck's trailer, sustaining traumatic injuries that killed him.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 2:45 p.m. on November 17, 2017, a maintenance technician reported that a fire extinguisher inspection tag was overdue by three days. The extinguisher was inspected and re-tagged. It remained fully charged throughout. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 2:45 p.m. on March 3, 2016, a maintenance technician slipped while stepping off a low kerb and twisted the left ankle slightly. An ice pack was applied at the first aid post. The employee walked unaided and returned to duty the same shift. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:30 a.m. on December 13, 2016, an employee and a coworker were wrapping up some switch gear tests for the evening.  The employee disconnected an electrical conductor used to power the switch gear testing equipment that was previously installed on the 480V electrical panel within the electrical room. While removing the electrical cable, the employee was struck by an arc flash and molten metal pushed him back against the North wall of the electrical room.  The employee made his way to the breaker for the switch gear and collapsed on the floor.  His coworker ran from the room when the flash occurred and returned once he was no longer in danger.  The coworker searched for the employee and found him on the floor and unresponsive.  Emergency services were contacted and the employee later died from his burn injuries.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
An employee was putting two pieces of wood together using a nail gun when the nail gun discharged a nail into his stomach.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 10:30 a.m. on February 3, 2016, an office assistant was struck against the edge of an open drawer while turning around at the workstation. A small bruise formed on the thigh. First aid was applied and no further treatment was needed. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.",0,IHM_Stefanini,Others,Employee,Line of Fire
"At 10:30 a.m. on October 17, 2017, a contractor's helper observed that a machine guard interlock label had faded and was difficult to read. The label was replaced during the next planned shutdown. The machine was not in operation at the time. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:20 p.m. on May 8, 2017, a maintenance technician slipped on a small patch of spilled water in the corridor and briefly lost balance before steadying against the wall. The employee was uninjured and continued working. The spill was mopped immediately. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 7:15 a.m. on May 3, 2016, an operator pinched a finger between two stacked plastic pallets while manually separating them. A minor pinch mark was noted with no break in the skin. The employee continued working. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"When making the change of support of the vertical pump of 6 ""(40357 Zinc two mechanics raised a beam in"" H ""(4"" x 2.7 m and 45 kg.) One at each end and being at the height of The injured person's knee slips from his hands causing the injury described.",1,IHM_Stefanini,Others,Employee,Uncategorized
"At 10:30 a.m. on September 26, 2017, an office assistant grazed a knuckle against a rough edge while removing a hand-tightened cover plate. A minor abrasion was dressed on site and the edge was deburred. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:30 a.m. on December 17, 2017, a housekeeping attendant sustained a small paper cut while sorting shift handover documents. First aid was applied and the employee resumed duties immediately. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 12:15 p.m. on March 23, 2017, Employee #1 was installing studs in the case of an engine being assembled. While moving the installer equipment and case, the employee accidentally cycled the equipment, catching his glove on the revolving shaft of the stud installer, and amputating his right thumb.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 8:40 a.m. on July 21, 2016, a housekeeping attendant caught a glove on a cabinet latch while closing a de-energised control panel door. The glove was snagged but the hand was uninjured. The latch was filed smooth. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 11:50 a.m. on March 17, 2016, a storekeeper experienced mild skin irritation on the wrist after wearing a damp glove for an extended period. The glove was replaced with a dry pair and the irritation subsided. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 1:20 p.m. on April 3, 2016, a contractor's helper slipped on a small patch of spilled water in the corridor and briefly lost balance before steadying against the wall. The employee was uninjured and continued working. The spill was mopped immediately. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At approximately 5:30 a.m. on February 18, 2017, an employee was walking through the plant when he was struck by a Kawasaki front end loader.	The employee suffered multiple fractures to his lower extremities, damage to internal organs, and he was hospitalized.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"An employee was guiding a customer's vehicle as it reversed. His right arm was caught between the vehicle and another, stationary vehicle. The forearm was broken.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 11:50 a.m. on July 21, 2017, Employee #1 observed that a machine guard interlock label had faded and was difficult to read. The label was replaced during the next planned shutdown. The machine was not in operation at the time. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 11:50 a.m. on June 17, 2016, a maintenance technician felt mild discomfort in the lower back after repeatedly bending to pick up small fittings from a low shelf. The employee rested briefly, reported the ergonomic concern, and resumed light duties. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 8:40 a.m. on March 26, 2017, an employee caught a glove on a cabinet latch while closing a de-energised control panel door. The glove was snagged but the hand was uninjured. The latch was filed smooth. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At approximately 4:15 p.m. on March 22, 2016, an employee was securing the crane. The crane rolled and crushed the employee. The employee was caught between two cranes and was killed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 7:15 a.m. on July 3, 2016, a storekeeper noticed that a fluorescent light fitting in the corridor was flickering intermittently. The observation was logged and maintenance replaced the tube the same day. No injury occurred.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 3:10 p.m. on May 8, 2016, an office assistant got a small amount of dust in the right eye while sweeping the workshop floor. The eye was rinsed at the eyewash station and mild irritation resolved within the hour. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 12:00 p.m. on October 13, 2015, an employee was backing a roller compactor near the edge of a hill when it became unstable and toppled over.  The employee was ejected from the roller compactor and the canopy of the compactor landed on his head. The employee was killed due to head trauma.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 3:10 p.m. on August 26, 2016, a workshop helper felt a mild strain in the shoulder after manually shifting a light toolbox onto a bench. The employee was advised on lifting technique and reported no lasting discomfort. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 9:05 a.m. on February 21, 2017, a storekeeper found an empty cable reel left in a walkway during a routine housekeeping round. The reel was removed to the storage yard. No one was injured. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:00 a.m. on November 1, 2016, an employee was walking along side a Ranco Bottom dump trailer at the dump gate controls. The employee was run over by the back left trailer wheels and was killed. The employee's lower body to middle of shoulder blades was crushed.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At 11:50 a.m. on December 26, 2017, a storekeeper sustained a small paper cut while sorting shift handover documents. First aid was applied and the employee resumed duties immediately. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",1,IHM_Stefanini,Others,Employee,Driving/Line of Fire
"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",0,IHM_Stefanini,Others,Employee,Uncategorized
"In the activity of placing boards on racks for the exchange of fabrics of the filters, one of the plates was inclined, trying to put the plate in the correct position, the plate arm pressed the back of the right hand against the structure of the easel",1,IHM_Stefanini,Others,Employee,Line of Fire
"On 02/25/2017 at 13:05 p.m., when assisting with GPS in the Magnetometric collaborator Gilvânio bumped the top of the field hat on a branch and was attacked by maribondos. The moths went towards his eyes, but due to the use of sunglasses, the attack in that region was prevented. The insects moved to the side of the face, getting caught between the ear and the back of the field hat, making the helper get two bites behind the ear. Gilvânio is allergic to Marimbondos bites, soon the activity was immediately paralyzed, we drove to the car, where the accident took his medicine (antiallergic already used in other situations out of work, indicated by another doctor) to avoid further swelling. Marcelo responsible for the project was also on the field in the mapping activity, was called on the radio immediately. The assistant felt good, but was taken to the emergency of the Hospital of Lavras do Sul, where he consulted the doctor, took antiallergic and was released around 15:20.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 1:20 p.m. on February 8, 2016, an office assistant grazed a knuckle against a rough edge while removing a hand-tightened cover plate. A minor abrasion was dressed on site and the edge was deburred.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:35 p.m. on December 21, 2017, a housekeeping attendant slipped on a small patch of spilled water in the corridor and briefly lost balance before steadying against the wall. The employee was uninjured and continued working. The spill was mopped immediately. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 10:30 a.m. on January 3, 2016, an employee got a small amount of dust in the right eye while sweeping the workshop floor. The eye was rinsed at the eyewash station and mild irritation resolved within the hour. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 12:00 p.m. on April 3, 2017, Employees #1 and #2, employed by a construction contractor, were engaged in trench excavation work related to a commercial building construction project.  Employee #1 was taking his lunch break while standing inside the 2- to 3-foot excavation, which had just been dug next to an existing concrete block wall.  Employee #2 was outside the trench near Employee #1.  The concrete block wall's footing had been exposed and weakened by the digging.  The wall collapsed, completely burying Employee #1 and trapping Employee #2's left foot.  Emergency services were called. Employee #1, when freed from the collapse, and found to have fatal head and chest injuries.  Employee #2's foot was freed from the collapsed wall.  He was transported to the hospital, admitted, and treated for fractures to his foot.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"At times when four employees lowered a metal sheet (1.5mx1.8m; m 80Kg) towards the floor from a height of 20 cm., The assembly assistant does not timely remove the hand, trapping his ring finger between the iron and loose earth causing a contusion on his ring finger. The collaborator at the time of the event to use their maneuver gloves.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 5:05 p.m. on September 21, 2016, a storekeeper received a shallow cut on the index finger while opening a carton with a safety knife. The cut did not require stitches. It was cleaned and dressed at the first aid post. The supervisor was notified and the observation was entered into the site log.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
An employee was cleaning up in the packaging room when an alarm went off on the cheese knife. He went to turn around and tripped on a hose and fell backward to the floor. The employee was hospitalized with a fractured right hip.,1,OSHA_SIR,Others,Employee,Uncategorized
"At 11:50 a.m. on November 12, 2016, a warehouse associate stepped down from a low platform approximately 40 centimetres high and felt a slight jolt in the knee. No swelling or restriction was observed. The employee declined medical attention. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 8:40 a.m. on March 12, 2017, a warehouse associate experienced mild skin irritation on the wrist after wearing a damp glove for an extended period. The glove was replaced with a dry pair and the irritation subsided. No medical treatment beyond first aid was required.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 9:05 a.m. on April 3, 2016, Employee #1 experienced mild skin irritation on the wrist after wearing a damp glove for an extended period. The glove was replaced with a dry pair and the irritation subsided. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"While preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall.",0,IHM_Stefanini,Others,Employee,Line of Fire
"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face.",0,IHM_Stefanini,Others,Employee,Hazardous Materials
"At 5:05 p.m. on December 21, 2016, an office assistant pinched a finger between two stacked plastic pallets while manually separating them. A minor pinch mark was noted with no break in the skin. The employee continued working. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 4:35 p.m. on July 12, 2016, Employee #1 noticed that a fluorescent light fitting in the corridor was flickering intermittently. The observation was logged and maintenance replaced the tube the same day. No injury occurred. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"Two employees were removing a fitting from a hose which was attached to a hydraulic line for a pump, pressurized at 20,000 PSI. The hose came off and hit an employee, amputating his finger.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 1:15 p.m. on February 25, 2017, an employee was assisting a coworker to disassemble a meat extrusion machine for cleaning.  While disassembling the machine, it was energized for an unknown reason. This activated the Chub Cutter, which slices the meat to size, and one of the employee's pinky fingers was amputated. The employee was hospitalized and received treatment for his injury.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"On leaving the Company the employee stumbled onto the exit ladder of the building and fell 3 steps, causing twisting of the ankle and grating on the cinnamon",1,IHM_Stefanini,Others,Employee,Uncategorized
"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion.",0,IHM_Stefanini,Others,Employee,Hazardous Materials
"On 05/02/2017, at 10:40 p.m., when performing geological mapping activity, the geologist Manoel da Silva accompanied by the geologists Luciano dos Santos and Dayme had to make the crossing to the other side of a fence barbed wire, known in the region as a goat. It is a fence that from the base up to about 60cm in height is made by rods interlaced horizontally and upwards made with little barbed wire barbed, around 15 to 20cm. I jumped on the fence, and still on the fence I managed to ""sweep"" the vegetation with the left foot but even so while supporting the foot on the ground a stump of approximately 10cm x 1cm came to break the sole of the boot and cause the perforation in the left foot at the height of the fingers.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 7:15 a.m. on July 8, 2017, an operator found an empty cable reel left in a walkway during a routine housekeeping round. The reel was removed to the storage yard. No one was injured. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"Employee reports that he performed soldering activity when he was hit in the eye region by dust that was found in the thermal insulation, causing irritation.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 8:40 a.m. on July 3, 2016, an employee was struck on the forearm by a lightweight empty cardboard box that shifted from a shelf at waist height. No injury was sustained. The shelf stacking arrangement was corrected. The area was inspected and returned to normal condition.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"An employee was preparing to fill a truck up with water at a water station. The truck had a 3-inch cam lock and when the employee attempted to make a connection, the hose popped off, striking the employee in the face with approximately 700 PSI. The employee sustained a concussion, broken nose, and facial lacerations, requiring hospitalization.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 10:00 a.m. on February 13, 2017, Employee #1 was working off of a platform that was five feet off of the ground. The employee fell off of the platform and landed on a riding lawn mower that was on the ground below. His foot got caught in the steering wheel of the mower, and his ankle was severely broken. Employee #1 was hospitalized for four nights.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
"A temporary employee was running normal production operations on a stamping press. The employee hand-fed extruded aluminum pieces into the point-of-operation with actuation controlled by two-hand controls located at shoulder height. The employee cycled the press, and once the cycle completed he removed the punched part. Subsequently, he put new blank into the point-of-operation and at that time, without manual actuation, the ram drifted from its top-stop and came down while both of his hands were in the point-of-operation. Both hands were crushed by the ram.",1,OSHA_SIR,Others,Employee,Uncategorized
"At 8:40 a.m. on May 8, 2017, a maintenance technician stepped down from a low platform approximately 40 centimetres high and felt a slight jolt in the knee. No swelling or restriction was observed. The employee declined medical attention. A toolbox talk reminder was issued at the next shift briefing.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"At 2:45 p.m. on June 26, 2017, a housekeeping attendant was struck against the edge of an open drawer while turning around at the workstation. A small bruise formed on the thigh. First aid was applied and no further treatment was needed. No lost time resulted from this event.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"On 02/15/2017 at 3:27 pm, when performing the Magnetometric using GPS, the collaborator Antônio bumped the top of the field hat on a branch and was attacked by maribondos. He was bitten behind the ear and another on the shoulder, but he continued his activity because he felt no pain or swelling.",0,IHM_Stefanini,Others,Employee,Uncategorized
"At 11:50 a.m. on February 17, 2016, a housekeeping attendant sustained a small paper cut while sorting shift handover documents. First aid was applied and the employee resumed duties immediately. The employee continued their assigned duties without restriction.",0,SYNTHETIC_NEG,Others,Employee,Uncategorized
"The workers: César (injured) and Nilton receive the order of their immediate supervisor Román to carry out the assembly activity of a brace (length 4.60 m, approximate weight 50 Kg) of the structure of the Nro belt. 2, said collaborators lift the brace and approach it to the installation point, leaving one end on the ground and the other resting on the corner of the pedestal (approximate height of 40 cm). After carrying out the planning of the work, the injured person lifts the end part that was on the floor to turn and position it for assembly, at that moment the other end falls generating the imprisonment of the fingers of the left hand. Staff is taken to the medical center by the supervisor.",1,IHM_Stefanini,Others,Employee,Uncategorized
"At approximately 9:30 a.m. on March 21, 2016, an employee was installing a new tire rod on the front end of a Mercedes-Benz Sprinter 3500 cab and chassis van with the gross weight of 4410 pounds at the Mercedes-Benz Vans assembly plant. The employee was replacing a defective part on a new cab and chassis van on the front end of the cab and chassis van on a creeper.  The employee was working in Bay 7 of the reworking area. The van had been lifted by two Norco Fast Floor jacks with a capacity of 2 tons each. The Model Number for these jacks was 71202A and the Serial Numbers were OCD 63600083731 and OCD63600083729.  It appeared the van was lowered down on two Craftsman High Lift jack stands with the capacity of 3 tons or 6000 pounds each. The Model Number for these stands was GTO704020 and the Serial Numbers were 998T9612 and 395H4802.  Also found underneath the van after the accident were two blocks of spruce wood that the employee had used under the braces of the jack stands to increase the working height under the cab and chassis van .   The first block of wood was 12-in. long, 3-in. wide, 2-in. thick and had a 0.5-in. gash on top of it. The second block of wood was 14-in. long, 3-in. wide, 2.5-in. thick and had 0.25-in. cut on the top and 4-in. cut on the side. The dimension of the lower support of the jack stand was 9-in. square. The parking brake for the van was not engaged and the wheels were not chocked.  The employee had worked on two other vehicles on the day of the accident. The morning break started at 9 a.m. and according to his Team Leader the second bell had rung about 9:20 a.m. to signal it was time to be back working. The Team Leader was about 15-20 feet away from Bay Number 7 and could see that the employee was under the front of the van on the creeper. Suddenly, he heard a click and the van fell. The Team Leader ran to Bay Number 7 and saw that the employee was pinned under the front of the van. He immediately called the plant emergency system and reported the incident so emergency medical services could be called. The Team Leader and several other employees started working on removing the van off of the employee. The employee received multiple injuries such as cardiopulmonary arrest secondary to cardiovascular collapse due to intracranial hemorrhage, subdural hematoma, multiple bilateral rip fractures, basal skull fractures, multiple facial fractures, left vertebral artery dissection, cardiac contusion due to vehicle falling onto and crushing the employee. The employee died from his injuries at 10 a.m. on March 29, 2016. The cause of the accident was floor jacks with a base dimension of 9-in. square were placed on unstable footing or support of 12-in. by 3-in. wood instead of other firm foundation that was level, sound, rigid, and capable of supporting the loaded vehicle without settling or displacement.",1,OSHA_ABSTRACTS,Others,Employee,Uncategorized
